fold,evaluation_year,dimension,regime,model,rows,positives,pr_auc,roc_auc,brier,log_loss,prevalence,ece_10,calibration_slope,calibration_intercept,top_decile_precision,top_decile_lift
eval_2024,2024,stock_liquidity,middle,logit_state,21339,1759,0.127347584363812,0.5996926647778446,0.07588175590185141,0.28435227730072815,0.0824312292047425,0.022825397792976387,0.5748465331638098,-1.112857988786288,0.15463917525773196,1.87597803344215
eval_2024,2024,stock_liquidity,middle,lgbm_price_liquidity,21339,1759,0.13766361328790552,0.5989952736865883,0.07538378632131823,0.2823896825141902,0.0824312292047425,0.020170906566559572,0.5803757276708155,-1.029135789564505,0.16026241799437677,1.9441954164764101
eval_2024,2024,stock_liquidity,middle,lgbm_state,21339,1759,0.14424916756052011,0.615506477412821,0.07422615016859191,0.2770684183838926,0.0824312292047425,0.006084088095936996,0.8724030178645077,-0.3517822703232456,0.16307403936269915,1.9783041079935402
eval_2024,2024,broker_concentration,high,temporal_tabular,15130,1720,0.2940693888575606,0.7173998057679968,0.09278091828597078,0.32290403025025305,0.11368142762723067,0.02494256416979564,1.0569668306203799,0.42044690468908885,0.34434897554527427,3.02906976744186
eval_2024,2024,broker_concentration,high,range_persistence,15130,1720,0.22873517401850108,0.6452234101590274,0.09890591099527753,0.3464223351669797,0.11368142762723067,0.03740207561768429,0.6862229395782423,-0.8269171158911015,0.2808988764044944,2.4709302325581395
eval_2024,2024,broker_concentration,high,logit_state,15130,1720,0.24677065665624298,0.662701992612247,0.09534727465752268,0.336124958072371,0.11368142762723067,0.01729294333807796,0.767003433071854,-0.48502429566196725,0.310641110376735,2.7325581395348837
eval_2024,2024,broker_concentration,high,lgbm_price_liquidity,15130,1720,0.22096302327271275,0.6510392279277873,0.09692476596793062,0.3395053638425931,0.11368142762723067,0.017199624038779972,0.721093756583082,-0.5254435046282849,0.27825512227362853,2.447674418604651
eval_2024,2024,broker_concentration,high,lgbm_state,15130,1720,0.2490840963025383,0.6801877720548706,0.09482120398669153,0.33040215454517546,0.11368142762723067,0.011974531626118074,1.0575769928795808,0.18894502244365174,0.3126239259748843,2.7499999999999996
eval_2024,2024,broker_concentration,low,temporal_tabular,38288,4542,0.33294836567498987,0.7486195666473368,0.0926678504309759,0.31825241342336424,0.11862724613455913,0.013047746663398044,1.0331952916788383,0.20077375118611837,0.39853747714808047,3.3595779227313307
eval_2024,2024,broker_concentration,low,range_persistence,38288,4542,0.2006267572056471,0.631793645657513,0.10264470572522813,0.3547962907774512,0.11862724613455913,0.024854934026225264,0.795854114874757,-0.5630150561115611,0.26586576129537737,2.241186320668738
eval_2024,2024,broker_concentration,low,logit_state,38288,4542,0.25625989625708157,0.6820662705612053,0.10000269375088883,0.34468667936560377,0.11862724613455913,0.03231992483124872,0.8286711966293231,-0.5500448061548607,0.3045181509532515,2.5670169448916984
eval_2024,2024,broker_concentration,low,lgbm_price_liquidity,38288,4542,0.23086810627012266,0.6614795554940014,0.10044560990453483,0.34757784106593076,0.11862724613455913,0.019630236885036078,0.7224733175522553,-0.5028477057706153,0.28649778009924265,2.4151094241391022
eval_2024,2024,broker_concentration,low,lgbm_state,38288,4542,0.2504955154808415,0.6909016051037169,0.0984774307995259,0.33887168505266435,0.11862724613455913,0.005474826570285398,0.9473707542394288,-0.07979441493915998,0.31653173152259073,2.6682886253934286
eval_2024,2024,sector,Commercial Banks,temporal_tabular,4082,499,0.2967107960287387,0.7108400445881995,0.09877718955543166,0.3377402629779145,0.12224399804017638,0.017833481143862517,0.8358820093766515,-0.3148196399151564,0.36674816625916873,3.000132293927709
eval_2024,2024,sector,Commercial Banks,range_persistence,4082,499,0.17532291845509287,0.5920428632872778,0.10600557689181447,0.3662198634664786,0.12224399804017638,0.017504136402206737,0.7342696992658871,-0.43259793649474027,0.21271393643031786,1.740076730478071
eval_2024,2024,sector,Commercial Banks,logit_state,4082,499,0.22779917192204915,0.6367543907239542,0.10629568984379523,0.3641432755887979,0.12224399804017638,0.03724562773899472,0.6765591914308389,-0.7841063497693416,0.2713936430317848,2.220097897506504
eval_2024,2024,sector,Commercial Banks,lgbm_price_liquidity,4082,499,0.23953717103144323,0.6588560878385293,0.10326392945358374,0.35464302371874445,0.12224399804017638,0.025339295761193006,0.7332904119314496,-0.5163124063208,0.293398533007335,2.4001058351421674
eval_2024,2024,sector,Commercial Banks,lgbm_state,4082,499,0.23745491172994398,0.6645823044358323,0.10323544087398674,0.3533520337231629,0.12224399804017638,0.019088795259964854,0.811476429658462,-0.3418831941616546,0.29095354523227385,2.380104953182649
