evaluation_year,model,alert_budget,sessions,rows,positives,alerts,true_positives,false_positives,false_negatives,stress_sessions,detected_stress_sessions,precision,recall,prevalence,lift,alerts_per_session,stress_session_detection_rate,missed_event_cost,total_cost,no_alert_cost,normalized_cost_reduction
2024,temporal_tabular,0.05,229,53418,6262,2847,948,1899,5314,229,215,0.3329820864067439,0.15138933248163525,0.1172264030851024,2.840504166668069,12.43231441048035,0.9388646288209607,20.0,108179.0,125240.0,0.1362264452251677
2024,temporal_tabular,0.1,229,53418,6262,5489,1517,3972,4745,229,224,0.27637092366551286,0.24225487064835516,0.1172264030851024,2.3575825615401413,23.96943231441048,0.9781659388646288,20.0,98872.0,125240.0,0.21053976365378474
2024,temporal_tabular,0.2,229,53418,6262,10773,2440,8333,3822,229,227,0.2264921563167177,0.3896518684126477,0.1172264030851024,1.9320916649834599,47.043668122270745,0.9912663755458515,20.0,84773.0,125240.0,0.32311561801341426
2025,lgbm_state,0.01,225,54538,5731,666,207,459,5524,225,143,0.3108108108108108,0.03611935089862153,0.10508269463493344,2.9577735124760074,2.96,0.6355555555555555,20.0,110939.0,114620.0,0.03211481416855697
2025,lgbm_state,0.025,225,54538,5731,1546,425,1121,5306,225,186,0.27490297542043984,0.07415808759378817,0.10508269463493344,2.616063247859003,6.871111111111111,0.8266666666666667,20.0,107241.0,114620.0,0.06437794451230151
2025,lgbm_state,0.05,225,54538,5731,2874,691,2183,5040,225,204,0.24043145441892833,0.12057232594660618,0.10508269463493344,2.2880214030883814,12.773333333333333,0.9066666666666666,20.0,102983.0,114620.0,0.1015267841563427
2025,lgbm_state,0.1,225,54538,5731,5546,1134,4412,4597,225,218,0.20447169130905157,0.19787122666201362,0.10508269463493344,1.9458169779467902,24.648888888888887,0.9688888888888889,20.0,96352.0,114620.0,0.15937881696039086
2025,lgbm_state,0.2,225,54538,5731,10992,1922,9070,3809,225,222,0.17485443959243085,0.33536904554179026,0.10508269463493344,1.663969887714534,48.85333333333333,0.9866666666666667,20.0,85250.0,114620.0,0.2562380038387716
2025,temporal_tabular,0.01,225,54538,5731,666,249,417,5482,225,162,0.3738738738738739,0.04344791484906648,0.10508269463493344,3.5579014715291106,2.96,0.72,20.0,110057.0,114620.0,0.039809806316524164
2025,temporal_tabular,0.025,225,54538,5731,1546,486,1060,5245,225,193,0.314359637774903,0.08480195428372012,0.10508269463493344,2.991545266963472,6.871111111111111,0.8577777777777778,20.0,105960.0,114620.0,0.07555400453673007
2025,temporal_tabular,0.05,225,54538,5731,2874,792,2082,4939,225,211,0.2755741127348643,0.1381957773512476,0.10508269463493344,2.622450001803181,12.773333333333333,0.9377777777777778,20.0,100862.0,114620.0,0.1200314081312162
2025,temporal_tabular,0.1,225,54538,5731,5546,1266,4280,4465,225,219,0.2282726289217454,0.2209038562205549,0.10508269463493344,2.172314192310967,24.648888888888887,0.9733333333333334,20.0,93580.0,114620.0,0.1835630779968592
2025,temporal_tabular,0.2,225,54538,5731,10992,2060,8932,3671,225,223,0.1874090247452693,0.3594486128075379,0.10508269463493344,1.783443271952102,48.85333333333333,0.9911111111111112,20.0,82352.0,114620.0,0.28152154946780666
2024,lgbm_state,0.01,229,53418,6262,665,262,403,6000,229,164,0.39398496240601505,0.04183966783775152,0.1172264030851024,3.360889288055655,2.903930131004367,0.7161572052401747,50.0,300403.0,313100.0,0.04055253912488023
2024,lgbm_state,0.025,229,53418,6262,1526,546,980,5716,229,203,0.3577981651376147,0.08719259022676461,0.1172264030851024,3.052197761948435,6.663755458515284,0.8864628820960698,50.0,286780.0,313100.0,0.08406259980836793
2024,lgbm_state,0.05,229,53418,6262,2847,872,1975,5390,229,220,0.3062873199859501,0.13925263494091344,0.1172264030851024,2.6127844233486877,12.43231441048035,0.9606986899563319,50.0,271475.0,313100.0,0.13294474608751197
2024,lgbm_state,0.1,229,53418,6262,5489,1399,4090,4863,229,226,0.25487338312989616,0.2234110507824976,0.1172264030851024,2.1741977611039274,23.96943231441048,0.9868995633187773,50.0,247240.0,313100.0,0.21034813158735227
2024,lgbm_state,0.2,229,53418,6262,10773,2231,8542,4031,229,228,0.20709180358303164,0.3562759501756627,0.1172264030851024,1.7665969281057783,47.043668122270745,0.9956331877729258,50.0,210092.0,313100.0,0.32899393165122964
2024,temporal_tabular,0.01,229,53418,6262,665,297,368,5965,229,173,0.44661654135338347,0.0474289364420313,0.1172264030851024,3.809863047910418,2.903930131004367,0.7554585152838428,50.0,298618.0,313100.0,0.04625359310124561
2024,temporal_tabular,0.025,229,53418,6262,1526,572,954,5690,229,202,0.3748361730013106,0.09134461833280103,0.1172264030851024,3.197540512517408,6.663755458515284,0.8820960698689956,50.0,285454.0,313100.0,0.08829766847652507
2024,temporal_tabular,0.05,229,53418,6262,2847,948,1899,5314,229,215,0.3329820864067439,0.15138933248163525,0.1172264030851024,2.840504166668069,12.43231441048035,0.9388646288209607,50.0,267599.0,313100.0,0.14532417757904822
2024,temporal_tabular,0.1,229,53418,6262,5489,1517,3972,4745,229,224,0.27637092366551286,0.24225487064835516,0.1172264030851024,2.3575825615401413,23.96943231441048,0.9781659388646288,50.0,241222.0,313100.0,0.22956882785052699
2024,temporal_tabular,0.2,229,53418,6262,10773,2440,8333,3822,229,227,0.2264921563167177,0.3896518684126477,0.1172264030851024,1.9320916649834599,47.043668122270745,0.9912663755458515,50.0,199433.0,313100.0,0.36303736825295435
2025,lgbm_state,0.01,225,54538,5731,666,207,459,5524,225,143,0.3108108108108108,0.03611935089862153,0.10508269463493344,2.9577735124760074,2.96,0.6355555555555555,50.0,276659.0,286550.0,0.03451753620659571
2025,lgbm_state,0.025,225,54538,5731,1546,425,1121,5306,225,186,0.27490297542043984,0.07415808759378817,0.10508269463493344,2.616063247859003,6.871111111111111,0.8266666666666667,50.0,266421.0,286550.0,0.0702460303611935
2025,lgbm_state,0.05,225,54538,5731,2874,691,2183,5040,225,204,0.24043145441892833,0.12057232594660618,0.10508269463493344,2.2880214030883814,12.773333333333333,0.9066666666666666,50.0,254183.0,286550.0,0.11295410923050078
2025,lgbm_state,0.1,225,54538,5731,5546,1134,4412,4597,225,218,0.20447169130905157,0.19787122666201362,0.10508269463493344,1.9458169779467902,24.648888888888887,0.9688888888888889,50.0,234262.0,286550.0,0.1824742627813645
2025,lgbm_state,0.2,225,54538,5731,10992,1922,9070,3809,225,222,0.17485443959243085,0.33536904554179026,0.10508269463493344,1.663969887714534,48.85333333333333,0.9866666666666667,50.0,199520.0,286550.0,0.3037166288605828
2025,temporal_tabular,0.01,225,54538,5731,666,249,417,5482,225,162,0.3738738738738739,0.04344791484906648,0.10508269463493344,3.5579014715291106,2.96,0.72,50.0,274517.0,286550.0,0.04199267143604955
2025,temporal_tabular,0.025,225,54538,5731,1546,486,1060,5245,225,193,0.314359637774903,0.08480195428372012,0.10508269463493344,2.991545266963472,6.871111111111111,0.8577777777777778,50.0,263310.0,286550.0,0.0811027743849241
2025,temporal_tabular,0.05,225,54538,5731,2874,792,2082,4939,225,211,0.2755741127348643,0.1381957773512476,0.10508269463493344,2.622450001803181,12.773333333333333,0.9377777777777778,50.0,249032.0,286550.0,0.13093002966323503
2025,temporal_tabular,0.1,225,54538,5731,5546,1266,4280,4465,225,219,0.2282726289217454,0.2209038562205549,0.10508269463493344,2.172314192310967,24.648888888888887,0.9733333333333334,50.0,227530.0,286550.0,0.2059675449310766
2025,temporal_tabular,0.2,225,54538,5731,10992,2060,8932,3671,225,223,0.1874090247452693,0.3594486128075379,0.10508269463493344,1.783443271952102,48.85333333333333,0.9911111111111112,50.0,192482.0,286550.0,0.32827778747164543
