evaluation_year,ablation,ablation_type,pr_auc_drop_mean,pr_auc_drop_std,brier_increase_mean,probability_change_mean,probability_change_std
2024,range_t,feature,0.0253199453179499,0.004457684761089021,0.0029950767755508425,0.02330475188791752,0.002673035003919309
2024,same_broker_value_share,feature,-2.8758674364304238e-05,0.0005085201701260117,0.0002765864133834839,0.005384460929781199,0.0010161621389927734
2024,seller_hhi,feature,-0.0001376794911015611,0.00041464342410347057,0.00026715993881225585,0.006402351288124919,0.0023110404978448572
2024,top_broker_flow_share,feature,8.615593125600451e-05,0.0009635341844572512,0.00010370910167694092,0.005300167622044683,0.002031980796606288
2024,top_broker_flow_share_z20,feature,-6.515800637418856e-05,0.0004552962880439579,7.239878177642823e-05,0.003972489386796951,0.0011754958078331594
2024,turnover_z20,feature,0.0024539252569188543,0.0011750433522023248,0.0007825523614883422,0.01116485595703125,0.0019510362456466362
2024,vwap_return_t,feature,0.006022771979714825,0.002394678305029779,0.0012200146913528443,0.01263312753289938,0.0012821914851079996
2025,abs_return_mean20,feature,0.0024235764293127236,0.0012951096004610633,0.00029783546924591067,0.01207507885992527,0.0035579713378477793
2025,abs_return_std20,feature,-0.0001062649043382824,0.0011462310446632314,-1.6868114471435547e-05,0.00976668791845441,0.0017837067600133345
2025,abs_vwap_return_t,feature,0.011466443226849494,0.0019519756060566373,0.000859212875366211,0.018129097670316695,0.003091497205381813
2025,aggregate_broker_imbalance,feature,0.00016090653584627246,0.0019001592246709728,5.9694051742553714e-06,0.004338681232184172,0.0014050075649384816
2025,aggregate_broker_imbalance_z20,feature,-0.0013431491868346357,0.0008915584954883712,-5.758106708526611e-05,0.0037134877406060697,0.0011397650683165974
2025,broker_count,feature,0.000989329282427409,0.004007992298773028,0.00024658888578414916,0.015480338502675295,0.010583667860290831
2025,broker_count_z20,feature,-0.003140715657259674,0.0019941758428789432,8.035749197006225e-05,0.007631572149693966,0.001958730726579103
2025,broker_flow_entropy,feature,0.00150020493478209,0.0012742641568361448,0.0001998618245124817,0.007665393361821771,0.004041960310166897
2025,buyer_hhi,feature,0.0015279016832266956,0.001684569635721431,0.00016770362854003906,0.005140556022524834,0.0019334256669472168
2025,gross_flow_hhi,feature,0.0004072814709833561,0.0015482879525162687,0.00014108866453170775,0.009222015971317887,0.005910575780700604
2025,gross_flow_hhi_z20,feature,-0.0013556097983394634,0.0008409622504801138,-7.061064243316651e-05,0.0034471518360078336,0.0009640226977912278
2025,group_broker_state,group,-0.0038623256297577123,0.003181562978087202,0.0008148610591888428,0.02581331692636013,0.005879612162237039
2025,group_market_state,group,0.03174192116680769,0.004010859136866093,0.00166502445936203,0.02113086059689522,0.0024378048896430463
2025,group_price_liquidity,group,0.06566762139225904,0.018318982447596676,0.005122107267379761,0.05109359920024872,0.014997236032987117
2025,illiquidity_t,feature,0.0004738334502390806,0.0007564379954108068,7.25090503692627e-05,0.002963508176617324,0.002502136221518327
2025,log_trade_count_t,feature,0.0016310352383979154,0.003109137471169754,0.00023605823516845704,0.007379154022783041,0.003398478237780072
2025,log_turnover_t,feature,0.008851059879054296,0.010857088145896967,0.0027386844158172607,0.04147945791482925,0.018319613688902888
2025,log_volume_t,feature,0.0022591491502707674,0.0022124738053895705,0.00021477341651916505,0.007477190904319286,0.0021385943723256536
2025,mkt_abs_return,feature,0.030039592229576834,0.006459428919549386,0.001536068320274353,0.008266763854771852,0.0019255912875424748
2025,mkt_log_trades,feature,-0.0013892046287692361,0.002336939624273854,0.0005500569939613342,0.021467560157179832,0.008675277528773857
2025,mkt_log_turnover,feature,0.0015284475430787925,0.0037239263082943807,0.000816015899181366,0.026343245152384044,0.013806803477882231
2025,mkt_return,feature,0.014709034056182596,0.004482715213300764,0.0006251305341720581,0.0117604436352849,0.002800643765171397
2025,range_mean20,feature,0.016677086343981927,0.006275369794620089,0.0009307548403739929,0.025049836188554764,0.006425748741062341
2025,range_std20,feature,0.005062281885155973,0.0024034595668437765,0.00038132518529891967,0.013563273660838603,0.003749266076994453
2025,range_t,feature,0.021758563982278045,0.0036557587444637565,0.0017945915460586548,0.019343398883938788,0.0026810963372620026
2025,same_broker_value_share,feature,-0.0006642542650041161,0.0010027170428941613,0.00014185458421707154,0.007333954237401486,0.0019116072051503007
2025,seller_hhi,feature,-8.43115153202012e-05,0.0005279821499961901,9.473115205764771e-05,0.006686023762449622,0.0036488197661067984
2025,top_broker_flow_share,feature,0.002006957585787872,0.001915994125174395,0.00015479326248168945,0.005688659986481071,0.001956543803265942
2025,top_broker_flow_share_z20,feature,-0.0010407449696744008,0.00135203215190796,-8.046030998229981e-05,0.0033400521147996186,0.00045233326894954885
2025,turnover_z20,feature,0.004590952806449078,0.0041601224703559335,0.0005577623844146729,0.011813432164490222,0.0018643743611946176
2025,vwap_return_t,feature,0.00553395478686799,0.002464450138653696,0.00037851929664611816,0.008369781356304885,0.0012030157175180437
